,cropid,Item
1,maize,Maize
2,beans,Faba bean seeds Vicia faba (dry)
3,pigeon pea,Pigeon peas
4,sunflower,Sunflower
5,fiwi,
6,bulrushĘmillet,Millet
7,fingerĘmillet,Millet
8,sorghum,Sorghum
9,green gram,Peas (dry)
10,sweet potatoes,Sweet potato
11,cow peas,Cowpeas
12,sesame,Sesame
13,groundnut,Peanut
14,paddy,Rice
15,pumpkin,Cauliflower & broccoli
16,other,
17,amaranth,Other cereals
18,eggplant,
19,okra,Okra
20,bambara nuts,Other oil/protein crops
21,cucumber,Cucumber
22,potatoes,White potato
23,tomatoes,Tomato
24,cocoyams,Yam
25,onions,Onion
26,yams,Yam
27,ginger,
28,field peas,Peas (green)
29,soybeans,Soybean
30,spinach,Other vegetable above-ground crops
31,cotton,
32,chick peas,Chickpeas
33,tobacco,
34,cabbage,Cabbage
35,chillies,
36,watermelon,Other vegetable above-ground crops
37,cassava,Cassava
38,carrot,Carrot
39,wheat,Wheat
40,seaweed,
41,banana,Other vegetable above-ground crops